TANGGAL		IMSAK	SUBUH	TERBIT	DUHA	ZUHUR	ASAR	MAGRIB	ISYA
Sabtu, 12/02/2022		04:55	05:05	06:19	06:46	12:29	15:47	18:33	19:43
Minggu, 13/02/2022		04:55	05:05	06:19	06:46	12:29	15:47	18:33	19:43
Senin, 14/02/2022		04:55	05:05	06:19	06:46	12:29	15:47	18:33	19:43
Selasa, 15/02/2022		04:56	05:06	06:19	06:46	12:29	15:46	18:33	19:42
Rabu, 16/02/2022		04:56	05:06	06:19	06:46	12:29	15:46	18:33	19:42
Kamis, 17/02/2022		04:56	05:06	06:18	06:46	12:29	15:46	18:32	19:42
Jumat, 18/02/2022		04:56	05:06	06:18	06:46	12:29	15:45	18:32	19:42
Sabtu, 19/02/2022		04:56	05:06	06:18	06:46	12:29	15:45	18:32	19:42
Minggu, 20/02/2022		04:56	05:06	06:18	06:46	12:29	15:44	18:32	19:41
Senin, 21/02/2022		04:56	05:06	06:18	06:46	12:29	15:44	18:32	19:41
Selasa, 22/02/2022		04:56	05:06	06:18	06:45	12:28	15:43	18:32	19:41
Rabu, 23/02/2022		04:56	05:06	06:18	06:45	12:28	15:42	18:32	19:41
Kamis, 24/02/2022		04:56	05:06	06:18	06:45	12:28	15:42	18:32	19:41
Jumat, 25/02/2022		04:56	05:06	06:18	06:45	12:28	15:41	18:31	19:40
Sabtu, 26/02/2022		04:56	05:06	06:18	06:45	12:28	15:41	18:31	19:40
Minggu, 27/02/2022		04:56	05:06	06:17	06:45	12:28	15:40	18:31	19:40
Senin, 28/02/2022		04:55	05:05	06:17	06:44	12:28	15:39	18:31	19:40
Selasa, 01/03/2022		04:55	05:05	06:17	06:44	12:27	15:38	18:31	19:39
Rabu, 02/03/2022		04:55	05:05	06:17	06:44	12:27	15:38	18:30	19:39
Kamis, 03/03/2022		04:55	05:05	06:17	06:44	12:27	15:37	18:30	19:39
Jumat, 04/03/2022		04:55	05:05	06:17	06:44	12:27	15:36	18:30	19:38
Sabtu, 05/03/2022		04:55	05:05	06:16	06:43	12:27	15:35	18:30	19:38
Minggu, 06/03/2022		04:55	05:05	06:16	06:43	12:26	15:35	18:29	19:38
Senin, 07/03/2022		04:55	05:05	06:16	06:43	12:26	15:34	18:29	19:38
Selasa, 08/03/2022		04:54	05:04	06:16	06:43	12:26	15:33	18:29	19:37
Rabu, 09/03/2022		04:54	05:04	06:15	06:43	12:26	15:32	18:29	19:37
Kamis, 10/03/2022		04:54	05:04	06:15	06:42	12:25	15:31	18:28	19:37
Jumat, 11/03/2022		04:54	05:04	06:15	06:42	12:25	15:30	18:28	19:36
Sabtu, 12/03/2022		04:54	05:04	06:15	06:42	12:25	15:29	18:28	19:36
Minggu, 13/03/2022		04:53	05:03	06:15	06:42	12:25	15:28	18:28	19:36
Senin, 14/03/2022		04:53	05:03	06:14	06:41	12:24	15:27	18:27	19:35
Selasa, 15/03/2022		04:53	05:03	06:14	06:41	12:24	15:26	18:27	19:35
Rabu, 16/03/2022		04:53	05:03	06:14	06:41	12:24	15:25	18:27	19:35
Kamis, 17/03/2022		04:52	05:02	06:13	06:40	12:23	15:24	18:26	19:34
Jumat, 18/03/2022		04:52	05:02	06:13	06:40	12:23	15:23	18:26	19:34
Sabtu, 19/03/2022		04:52	05:02	06:13	06:40	12:23	15:22	18:26	19:34
Minggu, 20/03/2022		04:52	05:02	06:13	06:40	12:23	15:22	18:25	19:33
Senin, 21/03/2022		04:52	05:02	06:13	06:39	12:23	15:23	18:25	19:33
Selasa, 22/03/2022		04:51	05:01	06:12	06:39	12:22	15:23	18:25	19:33
Rabu, 23/03/2022		04:51	05:01	06:12	06:39	12:22	15:23	18:25	19:33
Kamis, 24/03/2022		04:50	05:00	06:11	06:38	12:21	15:24	18:24	19:32
Jumat, 25/03/2022		04:50	05:00	06:11	06:38	12:21	15:24	18:24	19:32
Sabtu, 26/03/2022		04:50	05:00	06:11	06:38	12:21	15:25	18:24	19:32
Minggu, 27/03/2022		04:50	05:00	06:11	06:38	12:20	15:25	18:23	19:31
Senin, 28/03/2022		04:49	04:59	06:10	06:37	12:20	15:25	18:23	19:31
Selasa, 29/03/2022		04:49	04:59	06:10	06:37	12:20	15:26	18:23	19:31
Rabu, 30/03/2022		04:49	04:59	06:10	06:37	12:20	15:26	18:22	19:31
Kamis, 31/03/2022		04:48	04:58	06:09	06:37	12:19	15:26	18:22	19:30
Jumat, 01/04/2022		04:48	04:58	06:09	06:36	12:19	15:27	18:22	19:30
Sabtu, 02/04/2022		04:48	04:58	06:09	06:36	12:19	15:27	18:21	19:30
Minggu, 03/04/2022		04:47	04:57	06:09	06:36	12:18	15:27	18:21	19:29
Senin, 04/04/2022		04:47	04:57	06:08	06:35	12:18	15:27	18:21	19:29
Selasa, 05/04/2022		04:47	04:57	06:08	06:35	12:18	15:28	18:21	19:29
Rabu, 06/04/2022		04:46	04:56	06:08	06:35	12:18	15:28	18:20	19:29
Kamis, 07/04/2022		04:46	04:56	06:08	06:35	12:17	15:28	18:20	19:28
Jumat, 08/04/2022		04:46	04:56	06:07	06:34	12:17	15:28	18:20	19:28
Sabtu, 09/04/2022		04:45	04:55	06:07	06:34	12:17	15:29	18:19	19:28
Minggu, 10/04/2022		04:45	04:55	06:07	06:34	12:16	15:29	18:19	19:28
Senin, 11/04/2022		04:45	04:55	06:06	06:34	12:16	15:29	18:19	19:28
Selasa, 12/04/2022		04:44	04:54	06:06	06:33	12:16	15:29	18:19	19:27
Rabu, 13/04/2022		04:44	04:54	06:06	06:33	12:16	15:29	18:18	19:27
Kamis, 14/04/2022		04:44	04:54	06:06	06:33	12:15	15:29	18:18	19:27
Jumat, 15/04/2022		04:43	04:53	06:05	06:33	12:15	15:30	18:18	19:27
Sabtu, 16/04/2022		04:43	04:53	06:05	06:33	12:15	15:30	18:18	19:27
Minggu, 17/04/2022		04:43	04:53	06:05	06:32	12:15	15:30	18:17	19:26
Senin, 18/04/2022		04:42	04:52	06:05	06:32	12:14	15:30	18:17	19:26
Selasa, 19/04/2022		04:42	04:52	06:05	06:32	12:14	15:30	18:17	19:26
Rabu, 20/04/2022		04:42	04:52	06:04	06:32	12:14	15:30	18:17	19:26
Kamis, 21/04/2022		04:42	04:52	06:04	06:32	12:14	15:30	18:16	19:26
Jumat, 22/04/2022		04:41	04:51	06:04	06:31	12:14	15:31	18:16	19:26
Sabtu, 23/04/2022		04:41	04:51	06:04	06:31	12:13	15:31	18:16	19:26
Minggu, 24/04/2022		04:41	04:51	06:04	06:31	12:13	15:31	18:16	19:26
Senin, 25/04/2022		04:40	04:50	06:03	06:31	12:13	15:31	18:16	19:26
Selasa, 26/04/2022		04:40	04:50	06:03	06:31	12:13	15:31	18:15	19:25
Rabu, 27/04/2022		04:40	04:50	06:03	06:31	12:13	15:31	18:15	19:25
Kamis, 28/04/2022		04:40	04:50	06:03	06:31	12:13	15:31	18:15	19:25
Jumat, 29/04/2022		04:39	04:49	06:03	06:31	12:12	15:31	18:15	19:25
Sabtu, 30/04/2022		04:39	04:49	06:03	06:30	12:12	15:32	18:15	19:25
Minggu, 01/05/2022		04:39	04:49	06:03	06:30	12:12	15:32	18:15	19:25
Senin, 02/05/2022		04:39	04:49	06:02	06:30	12:12	15:32	18:15	19:25
Selasa, 03/05/2022		04:38	04:48	06:02	06:30	12:12	15:32	18:15	19:25
Rabu, 04/05/2022		04:38	04:48	06:02	06:30	12:12	15:32	18:14	19:25
Kamis, 05/05/2022		04:38	04:48	06:02	06:30	12:12	15:32	18:14	19:25
Jumat, 06/05/2022		04:38	04:48	06:02	06:30	12:12	15:32	18:14	19:25
Sabtu, 07/05/2022		04:38	04:48	06:02	06:30	12:12	15:32	18:14	19:25
Minggu, 08/05/2022		04:37	04:47	06:02	06:30	12:12	15:33	18:14	19:25
Senin, 09/05/2022		04:37	04:47	06:02	06:30	12:11	15:33	18:14	19:25
Selasa, 10/05/2022		04:37	04:47	06:02	06:30	12:11	15:33	18:14	19:25
Rabu, 11/05/2022		04:37	04:47	06:02	06:30	12:11	15:33	18:14	19:26
Kamis, 12/05/2022		04:37	04:47	06:02	06:30	12:11	15:33	18:14	19:26
Jumat, 13/05/2022		04:37	04:47	06:02	06:30	12:11	15:33	18:14	19:26
Sabtu, 14/05/2022		04:37	04:47	06:02	06:30	12:11	15:33	18:14	19:26
Minggu, 15/05/2022		04:36	04:46	06:02	06:30	12:11	15:34	18:14	19:26
Senin, 16/05/2022		04:36	04:46	06:02	06:30	12:11	15:34	18:14	19:26
Selasa, 17/05/2022		04:36	04:46	06:02	06:30	12:11	15:34	18:14	19:26
Rabu, 18/05/2022		04:36	04:46	06:02	06:30	12:11	15:34	18:14	19:26
Kamis, 19/05/2022		04:36	04:46	06:02	06:30	12:11	15:34	18:14	19:26
Jumat, 20/05/2022		04:36	04:46	06:02	06:30	12:12	15:34	18:14	19:27
Sabtu, 21/05/2022		04:36	04:46	06:02	06:31	12:12	15:35	18:14	19:27
Minggu, 22/05/2022		04:36	04:46	06:02	06:31	12:12	15:35	18:14	19:27
Senin, 23/05/2022		04:36	04:46	06:02	06:31	12:12	15:35	18:14	19:27
Selasa, 24/05/2022		04:36	04:46	06:02	06:31	12:12	15:35	18:14	19:27
Rabu, 25/05/2022		04:36	04:46	06:02	06:31	12:12	15:35	18:14	19:27
Kamis, 26/05/2022		04:36	04:46	06:03	06:31	12:12	15:35	18:15	19:28
Jumat, 27/05/2022		04:36	04:46	06:03	06:31	12:12	15:36	18:15	19:28
Sabtu, 28/05/2022		04:36	04:46	06:03	06:31	12:12	15:36	18:15	19:28
Minggu, 29/05/2022		04:36	04:46	06:03	06:32	12:12	15:36	18:15	19:28
Senin, 30/05/2022		04:36	04:46	06:03	06:32	12:13	15:36	18:15	19:28
Selasa, 31/05/2022		04:36	04:46	06:03	06:32	12:13	15:37	18:15	19:29
Rabu, 01/06/2022		04:36	04:46	06:03	06:32	12:13	15:37	18:15	19:29
Kamis, 02/06/2022		04:36	04:46	06:03	06:32	12:13	15:37	18:16	19:29
Jumat, 03/06/2022		04:36	04:46	06:04	06:32	12:13	15:37	18:16	19:29
Sabtu, 04/06/2022		04:36	04:46	06:04	06:33	12:13	15:37	18:16	19:30
Minggu, 05/06/2022		04:36	04:46	06:04	06:33	12:13	15:38	18:16	19:30
Senin, 06/06/2022		04:37	04:47	06:04	06:33	12:14	15:38	18:16	19:30
Selasa, 07/06/2022		04:37	04:47	06:04	06:33	12:14	15:38	18:16	19:30
Rabu, 08/06/2022		04:37	04:47	06:05	06:33	12:14	15:38	18:17	19:31
Kamis, 09/06/2022		04:37	04:47	06:05	06:34	12:14	15:39	18:17	19:31
Jumat, 10/06/2022		04:37	04:47	06:05	06:34	12:14	15:39	18:17	19:31
Sabtu, 11/06/2022		04:37	04:47	06:05	06:34	12:15	15:39	18:17	19:31
Minggu, 12/06/2022		04:37	04:47	06:05	06:34	12:15	15:39	18:17	19:32
Senin, 13/06/2022		04:38	04:48	06:06	06:34	12:15	15:39	18:18	19:32
Selasa, 14/06/2022		04:38	04:48	06:06	06:35	12:15	15:40	18:18	19:32
Rabu, 15/06/2022		04:38	04:48	06:06	06:35	12:15	15:40	18:18	19:32
Kamis, 16/06/2022		04:38	04:48	06:06	06:35	12:16	15:40	18:18	19:33
Jumat, 17/06/2022		04:38	04:48	06:06	06:35	12:16	15:40	18:18	19:33
Sabtu, 18/06/2022		04:38	04:48	06:07	06:36	12:16	15:41	18:19	19:33
Minggu, 19/06/2022		04:39	04:49	06:07	06:36	12:16	15:41	18:19	19:33
Senin, 20/06/2022		04:39	04:49	06:07	06:36	12:17	15:41	18:19	19:33
Selasa, 21/06/2022		04:39	04:49	06:07	06:36	12:17	15:41	18:19	19:34
Rabu, 22/06/2022		04:39	04:49	06:07	06:36	12:17	15:41	18:20	19:34
Kamis, 23/06/2022		04:40	04:50	06:08	06:37	12:17	15:42	18:20	19:34
Jumat, 24/06/2022		04:40	04:50	06:08	06:37	12:17	15:42	18:20	19:34
Sabtu, 25/06/2022		04:40	04:50	06:08	06:37	12:18	15:42	18:20	19:34
Minggu, 26/06/2022		04:40	04:50	06:08	06:37	12:18	15:42	18:20	19:35
Senin, 27/06/2022		04:40	04:50	06:09	06:37	12:18	15:43	18:21	19:35
Selasa, 28/06/2022		04:41	04:51	06:09	06:38	12:18	15:43	18:21	19:35
Rabu, 29/06/2022		04:41	04:51	06:09	06:38	12:18	15:43	18:21	19:35
Kamis, 30/06/2022		04:41	04:51	06:09	06:38	12:19	15:43	18:21	19:35
Jumat, 01/07/2022		04:41	04:51	06:09	06:38	12:19	15:43	18:21	19:36
Sabtu, 02/07/2022		04:42	04:52	06:10	06:38	12:19	15:43	18:22	19:36
Minggu, 03/07/2022		04:42	04:52	06:10	06:39	12:19	15:44	18:22	19:36
Senin, 04/07/2022		04:42	04:52	06:10	06:39	12:19	15:44	18:22	19:36
Selasa, 05/07/2022		04:42	04:52	06:10	06:39	12:20	15:44	18:22	19:36
Rabu, 06/07/2022		04:43	04:53	06:10	06:39	12:20	15:44	18:22	19:36
Kamis, 07/07/2022		04:43	04:53	06:10	06:39	12:20	15:44	18:22	19:36
Jumat, 08/07/2022		04:43	04:53	06:11	06:39	12:20	15:44	18:23	19:36
Sabtu, 09/07/2022		04:43	04:53	06:11	06:40	12:20	15:44	18:23	19:36
Minggu, 10/07/2022		04:43	04:53	06:11	06:40	12:20	15:44	18:23	19:37
Senin, 11/07/2022		04:44	04:54	06:11	06:40	12:21	15:45	18:23	19:37
Selasa, 12/07/2022		04:44	04:54	06:11	06:40	12:21	15:45	18:23	19:37
Rabu, 13/07/2022		04:44	04:54	06:11	06:40	12:21	15:45	18:23	19:37
Kamis, 14/07/2022		04:44	04:54	06:11	06:40	12:21	15:45	18:23	19:37
Jumat, 15/07/2022		04:45	04:55	06:11	06:40	12:21	15:45	18:24	19:37
Sabtu, 16/07/2022		04:45	04:55	06:12	06:40	12:21	15:45	18:24	19:37
Minggu, 17/07/2022		04:45	04:55	06:12	06:40	12:21	15:45	18:24	19:37
Senin, 18/07/2022		04:45	04:55	06:12	06:40	12:21	15:45	18:24	19:37
Selasa, 19/07/2022		04:45	04:55	06:12	06:40	12:21	15:45	18:24	19:37
Rabu, 20/07/2022		04:45	04:55	06:12	06:40	12:21	15:45	18:24	19:37
Kamis, 21/07/2022		04:46	04:56	06:12	06:40	12:21	15:45	18:24	19:37
Jumat, 22/07/2022		04:46	04:56	06:12	06:40	12:22	15:45	18:24	19:37
Sabtu, 23/07/2022		04:46	04:56	06:12	06:40	12:22	15:45	18:24	19:37
Minggu, 24/07/2022		04:46	04:56	06:12	06:40	12:22	15:45	18:24	19:37
Senin, 25/07/2022		04:46	04:56	06:12	06:40	12:22	15:44	18:24	19:36
Selasa, 26/07/2022		04:46	04:56	06:12	06:40	12:22	15:44	18:24	19:36
Rabu, 27/07/2022		04:46	04:56	06:12	06:40	12:22	15:44	18:24	19:36
Kamis, 28/07/2022		04:46	04:56	06:12	06:40	12:22	15:44	18:24	19:36
Jumat, 29/07/2022		04:47	04:57	06:12	06:40	12:22	15:44	18:24	19:36
Sabtu, 30/07/2022		04:47	04:57	06:12	06:40	12:22	15:44	18:24	19:36
Minggu, 31/07/2022		04:47	04:57	06:12	06:40	12:21	15:44	18:24	19:36
Senin, 01/08/2022		04:47	04:57	06:12	06:40	12:21	15:43	18:24	19:36
Selasa, 02/08/2022		04:47	04:57	06:12	06:40	12:21	15:43	18:24	19:35
Rabu, 03/08/2022		04:47	04:57	06:12	06:40	12:21	15:43	18:24	19:35
Kamis, 04/08/2022		04:47	04:57	06:12	06:40	12:21	15:43	18:24	19:35
Jumat, 05/08/2022		04:47	04:57	06:12	06:40	12:21	15:42	18:24	19:35
Sabtu, 06/08/2022		04:47	04:57	06:11	06:39	12:21	15:42	18:24	19:35
Minggu, 07/08/2022		04:47	04:57	06:11	06:39	12:21	15:42	18:23	19:34
Senin, 08/08/2022		04:47	04:57	06:11	06:39	12:21	15:41	18:23	19:34
Selasa, 09/08/2022		04:47	04:57	06:11	06:39	12:21	15:41	18:23	19:34
Rabu, 10/08/2022		04:47	04:57	06:11	06:39	12:20	15:41	18:23	19:34
Kamis, 11/08/2022		04:47	04:57	06:11	06:39	12:20	15:40	18:23	19:33
Jumat, 12/08/2022		04:47	04:57	06:11	06:38	12:20	15:40	18:23	19:33
Sabtu, 13/08/2022		04:47	04:57	06:10	06:38	12:20	15:39	18:23	19:33
Minggu, 14/08/2022		04:47	04:57	06:10	06:38	12:20	15:39	18:22	19:33
Senin, 15/08/2022		04:47	04:57	06:10	06:38	12:20	15:39	18:22	19:32
Selasa, 16/08/2022		04:46	04:56	06:10	06:37	12:19	15:38	18:22	19:32
Rabu, 17/08/2022		04:46	04:56	06:10	06:37	12:19	15:38	18:22	19:32
Kamis, 18/08/2022		04:46	04:56	06:09	06:37	12:19	15:37	18:22	19:31
Jumat, 19/08/2022		04:46	04:56	06:09	06:37	12:19	15:37	18:21	19:31
Sabtu, 20/08/2022		04:46	04:56	06:09	06:36	12:18	15:36	18:21	19:31
Minggu, 21/08/2022		04:46	04:56	06:09	06:36	12:18	15:35	18:21	19:30
Senin, 22/08/2022		04:46	04:56	06:08	06:36	12:18	15:35	18:21	19:30
Selasa, 23/08/2022		04:46	04:56	06:08	06:36	12:18	15:34	18:20	19:30
Rabu, 24/08/2022		04:45	04:55	06:08	06:35	12:17	15:34	18:20	19:29
Kamis, 25/08/2022		04:45	04:55	06:08	06:35	12:17	15:33	18:20	19:29
Jumat, 26/08/2022		04:45	04:55	06:07	06:35	12:17	15:32	18:20	19:29
Sabtu, 27/08/2022		04:45	04:55	06:07	06:34	12:17	15:32	18:19	19:28
Minggu, 28/08/2022		04:45	04:55	06:07	06:34	12:16	15:31	18:19	19:28
Senin, 29/08/2022		04:44	04:54	06:06	06:34	12:16	15:30	18:19	19:28
Selasa, 30/08/2022		04:44	04:54	06:06	06:33	12:16	15:30	18:18	19:27
Rabu, 31/08/2022		04:44	04:54	06:06	06:33	12:15	15:29	18:18	19:27
Kamis, 01/09/2022		04:44	04:54	06:05	06:33	12:15	15:28	18:18	19:27
Jumat, 02/09/2022		04:43	04:53	06:05	06:32	12:15	15:27	18:18	19:26
Sabtu, 03/09/2022		04:43	04:53	06:05	06:32	12:15	15:27	18:17	19:26
Minggu, 04/09/2022		04:43	04:53	06:04	06:32	12:14	15:26	18:17	19:25
Senin, 05/09/2022		04:43	04:53	06:04	06:31	12:14	15:25	18:17	19:25
Selasa, 06/09/2022		04:42	04:52	06:04	06:31	12:14	15:24	18:16	19:25
Rabu, 07/09/2022		04:42	04:52	06:03	06:31	12:13	15:23	18:16	19:24
Kamis, 08/09/2022		04:42	04:52	06:03	06:30	12:13	15:22	18:16	19:24
Jumat, 09/09/2022		04:41	04:51	06:03	06:30	12:12	15:22	18:15	19:23
Sabtu, 10/09/2022		04:41	04:51	06:02	06:29	12:12	15:21	18:15	19:23
Minggu, 11/09/2022		04:41	04:51	06:02	06:29	12:12	15:20	18:15	19:23
Senin, 12/09/2022		04:40	04:50	06:02	06:29	12:11	15:19	18:14	19:22
Selasa, 13/09/2022		04:40	04:50	06:01	06:28	12:11	15:18	18:14	19:22
Rabu, 14/09/2022		04:40	04:50	06:01	06:28	12:11	15:17	18:14	19:22
Kamis, 15/09/2022		04:39	04:49	06:01	06:28	12:10	15:16	18:13	19:21
Jumat, 16/09/2022		04:39	04:49	06:00	06:27	12:10	15:15	18:13	19:21
Sabtu, 17/09/2022		04:39	04:49	06:00	06:27	12:10	15:14	18:12	19:21
Minggu, 18/09/2022		04:38	04:48	05:59	06:26	12:09	15:13	18:12	19:20
Senin, 19/09/2022		04:38	04:48	05:59	06:26	12:09	15:12	18:12	19:20
Selasa, 20/09/2022		04:38	04:48	05:59	06:26	12:09	15:11	18:11	19:19
Rabu, 21/09/2022		04:37	04:47	05:58	06:25	12:08	15:10	18:11	19:19
Kamis, 22/09/2022		04:37	04:47	05:58	06:25	12:08	15:09	18:11	19:19
Jumat, 23/09/2022		04:37	04:47	05:58	06:25	12:08	15:07	18:10	19:18
Sabtu, 24/09/2022		04:36	04:46	05:57	06:24	12:07	15:06	18:10	19:18
Minggu, 25/09/2022		04:36	04:46	05:57	06:24	12:07	15:06	18:10	19:18
Senin, 26/09/2022		04:36	04:46	05:57	06:23	12:06	15:07	18:09	19:17
Selasa, 27/09/2022		04:35	04:45	05:56	06:23	12:06	15:07	18:09	19:17
Rabu, 28/09/2022		04:35	04:45	05:56	06:23	12:06	15:08	18:09	19:17
Kamis, 29/09/2022		04:34	04:44	05:55	06:22	12:05	15:08	18:08	19:17
Jumat, 30/09/2022		04:34	04:44	05:55	06:22	12:05	15:08	18:08	19:16
Sabtu, 01/10/2022		04:34	04:44	05:55	06:22	12:05	15:09	18:08	19:16
Minggu, 02/10/2022		04:33	04:43	05:54	06:21	12:04	15:09	18:08	19:16
Senin, 03/10/2022		04:33	04:43	05:54	06:21	12:04	15:09	18:07	19:15
Selasa, 04/10/2022		04:33	04:43	05:54	06:21	12:04	15:10	18:07	19:15
Rabu, 05/10/2022		04:32	04:42	05:53	06:20	12:04	15:10	18:07	19:15
Kamis, 06/10/2022		04:32	04:42	05:53	06:20	12:03	15:10	18:06	19:15
Jumat, 07/10/2022		04:31	04:41	05:53	06:20	12:03	15:11	18:06	19:14
Sabtu, 08/10/2022		04:31	04:41	05:53	06:20	12:03	15:11	18:06	19:14
Minggu, 09/10/2022		04:31	04:41	05:52	06:19	12:02	15:11	18:06	19:14
Senin, 10/10/2022		04:30	04:40	05:52	06:19	12:02	15:11	18:05	19:14
Selasa, 11/10/2022		04:30	04:40	05:52	06:19	12:02	15:12	18:05	19:14
Rabu, 12/10/2022		04:30	04:40	05:51	06:19	12:02	15:12	18:05	19:13
Kamis, 13/10/2022		04:29	04:39	05:51	06:18	12:01	15:12	18:05	19:13
Jumat, 14/10/2022		04:29	04:39	05:51	06:18	12:01	15:13	18:04	19:13
Sabtu, 15/10/2022		04:29	04:39	05:51	06:18	12:01	15:13	18:04	19:13
Minggu, 16/10/2022		04:28	04:38	05:50	06:18	12:01	15:13	18:04	19:13
Senin, 17/10/2022		04:28	04:38	05:50	06:17	12:00	15:13	18:04	19:13
Selasa, 18/10/2022		04:28	04:38	05:50	06:17	12:00	15:14	18:04	19:13
Rabu, 19/10/2022		04:27	04:37	05:50	06:17	12:00	15:14	18:03	19:13
Kamis, 20/10/2022		04:27	04:37	05:49	06:17	12:00	15:14	18:03	19:12
Jumat, 21/10/2022		04:27	04:37	05:49	06:17	12:00	15:14	18:03	19:12
Sabtu, 22/10/2022		04:27	04:37	05:49	06:17	12:00	15:15	18:03	19:12
Minggu, 23/10/2022		04:26	04:36	05:49	06:16	11:59	15:15	18:03	19:12
Senin, 24/10/2022		04:26	04:36	05:49	06:16	11:59	15:15	18:03	19:12
Selasa, 25/10/2022		04:26	04:36	05:49	06:16	11:59	15:15	18:03	19:12
Rabu, 26/10/2022		04:26	04:36	05:49	06:16	11:59	15:16	18:03	19:12
Kamis, 27/10/2022		04:25	04:35	05:48	06:16	11:59	15:16	18:02	19:12
Jumat, 28/10/2022		04:25	04:35	05:48	06:16	11:59	15:16	18:02	19:12
Sabtu, 29/10/2022		04:25	04:35	05:48	06:16	11:59	15:16	18:02	19:12
Minggu, 30/10/2022		04:25	04:35	05:48	06:16	11:59	15:17	18:02	19:12
Senin, 31/10/2022		04:25	04:35	05:48	06:16	11:59	15:17	18:02	19:13
Selasa, 01/11/2022		04:24	04:34	05:48	06:16	11:59	15:17	18:02	19:13
Rabu, 02/11/2022		04:24	04:34	05:48	06:16	11:59	15:18	18:02	19:13
Kamis, 03/11/2022		04:24	04:34	05:48	06:16	11:59	15:18	18:02	19:13
Jumat, 04/11/2022		04:24	04:34	05:48	06:16	11:59	15:18	18:02	19:13
